,title,date,body,url,year
0,Η αγάπη με τα χρώματα της Ελλης,2022-08-06 12:34:00,"Στην γκαλερί genesis παρουσιάστηκε η έκθεση «Ελλη, σ’ αγαπώ», αφιερωμένη σε μια ταλαντούχα νεαρή γυναίκα που λάτρευε τη ζωγραφική και που, δυστυχώς, έφυγε απροσδόκητα νωρίς από τη ζωή, πέρυσι, σε ηλικία 33 ετών. Η Ελλη Διβάνη ανακάλυψε από μικρή το ταλέντο της να εκφράζει ό,τι είχε στο μυαλό της με χρώματα πάνω σε λευκούς καμβάδες. Εδινε ζωή στα όνειρά της και τα μοιραζόταν με όλους όσοι ήταν γύρω της. Δούλευε ασταμάτητα, δοκίμαζε υλικά, τεχνοτροπίες, φόρμες, ύφος. Τοπία, προσωπογραφίες, εικονογραφήσεις παιδικών βιβλίων, εικαστικά κοσμήματα, όλα είχαν θέση μέσα στο εργαστήριό της. Εργα της παρουσιάστηκαν σε δύο σημαντικές ομαδικές εκθέσεις στην gallery genesis: «Κατακόκκινο ανοιχτό καρπούζι…» – 2018 και «From Greece with love» Greek Souvenir – 2019.",https://www.kathimerini.gr/culture/561899503/i-agapi-me-ta-chromata-tis-ellis/,2022
1,Μπρους Γουίλις: Η ανάρτηση της κόρης του στο Instagram και το «ευχαριστώ» για την αγάπη του κόσμου,2022-01-04 12:05:00,"Η κόρη του Μπρους Γουίλις και της Ντέμι Μουρ, Σκάουτ νιώθει ευγνωμοσύνη για το μεγάλο κύμα αγάπης και συμπαράστασης στον πατέρα της μετά την αποκάλυψη ότι πάσχει από αφασία. ",https://www.kathimerini.gr/world/561788941/mproys-goyilis-i-anartisi-tis-koris-toy-sto-instagram-kai-to-eycharisto-gia-tin-agapi-toy-kosmoy/,2022
2,«Η αγάπη μου για την Ελλάδα δεν χωράει σε μια ζωή»,2022-02-28 22:37:00,"Τη λένε Σιου Κάι, όμως θέλει οι Ελληνες να τη φωνάζουν Νίκη –Κάι σημαίνει στα κινεζικά Νίκη–, και είναι μεταξύ της πρώτης γενιάς των Κινέζων φοιτητών ελληνικών σπουδών στην Κίνα. Μετέφρασε έργα δεκάδων Ελλήνων συγγραφέων στα κινεζικά. Εγραψε η ίδια δεκάδες πεζά και ποιήματα για την Ελλάδα. Δίδαξε ελληνικά στο Πανεπιστήμιο Ξένων Γλωσσών του Λουό Γιάνγκ. Ως προϊσταμένη του Ναυτικού Νοσοκομείου της Σαγκάης συνέδραμε επί 30 και πλέον χρόνια στην περίθαλψη χιλιάδων Ελλήνων ναυτικών επικοινωνώντας μαζί τους στα ελληνικά· ήταν γι’ αυτούς αίφνης μια ανέλπιστη μάνα, μια αδελφή από την πατρίδα – κι αυτοί σε αντάλλαγμα της έστελναν μετά τα ανύπαρκτα στην Κίνα και υπερπολύτιμα γι’ αυτήν ελληνικά έντυπα και βιβλία.",https://www.kathimerini.gr/society/561738796/i-agapi-moy-gia-tin-ellada-den-choraei-se-mia-zoi/,2022
3,"Χώμα, νερό κι αγάπη",2022-02-24 20:48:00,"Ο Πλάτωνας δεν είχε σε υπόληψη τα κεραμικά. Τα θεωρούσε ευτελή. «Των φαύλων τι και προχείρων» βάζει τον Σωκράτη να πει για τον πηλό στον Θεαίτητο, σε έναν από τους Διαλόγους. Οι σύγχρονοί του τον διέψευσαν. Οι αρχαίοι κεραμοποιοί της Αθήνας μετέτρεψαν το χώμα της αττικής γης όχι μόνο σε υψηλή τέχνη αλλά και σε πραγματικό χρυσάφι για την πόλη τους, αφού τα αγγεία τους μονοπωλούσαν τις αγορές της εποχής.",https://www.kathimerini.gr/opinion/561733738/choma-nero-ki-agapi/,2022
4,"Αντετοκούνμπο ο Πρώτος: Ο μεγάλος γιός της οικογένειας, Francis Ofili, μιλά για το hip hop και την αγάπη",2022-01-31 10:38:00,"O Φράνσις «Ofili» Αντετοκούνμπο μπαίνει στο στούντιο για τη φωτογράφιση χορεύοντας στον ρυθμό μιας μουσικής που ακούει μόνο εκείνος – ίσως στον ρυθμό που κυλάει στις φλέβες του από τη στιγμή που γεννήθηκε στη Νιγηρία. Παρατηρώντας τον, έρχεται στο μυαλό μου η αγγλική έκφραση «marching to the beat of his own drum» και είναι ο καλύτερος τρόπος για να περιγράψω την αρχική μου εντύπωση. Ο Φράνσις «Ofili» Αντετοκούνμπο έχει ακολουθήσει τον δικό του δρόμο, που τον διαφοροποιεί σε πολλά από την υπόλοιπη οικογένειά του. Λίγο αργότερα, όμως, γίνονται αμέσως αντιληπτά και τα κοινά μεταξύ τους – μια ψηλή, επιβλητική, αλλά μειλίχια ταυτόχρονα, φιγούρα να μιλάει για την αγάπη ως το νόημα της ζωής και τη σκληρή δουλειά που απαιτείται για να εκπληρώσεις τους στόχους σου.",https://www.kathimerini.gr/k/k-magazine/561695164/antetokoynmpo-o-protos-o-megalos-gios-tis-oikogeneias-francis-ofili-mila-gia-to-hip-hop-kai-tin-agapi/,2022
5,Ανάσταση – η αγάπη τελικά θα νικήσει το μίσος,2022-04-24 07:49:00,"Του Αρχιεπισκόπου Tιράνων, Δυρραχίου και πάσης Αλβανίας Αναστασίου",https://www.kathimerini.gr/society/561823633/anastasi-i-agapi-telika-tha-nikisei-to-misos/,2022
6,Μπερλινάλε: Αγάπη εναντίον διδακτισμού,2022-02-15 12:35:00,"ΒΕΡΟΛΙΝΟ – ΑΝΤΑΠΟΚΡΙΣΗ. Το Σαββατοκύριακο στο Βερολίνο πέρασε με πολύ ποδαρόδρομο, αναμονή σε ουρές (για COVID test) και ακόμη περισσότερες ταινίες. Ταινίες από τη Γερμανία, την Ιταλία, τη Γαλλία, την Ασία, την Αμερική, τη Ρωσία: γλώσσες και κουλτούρες μπλέκονται η μία πίσω από την άλλη, αφήνοντας μια ελαφριά ζάλη στο τέλος της ημέρας και το μυαλό να προσπαθεί να ξεκαθαρίσει πού είδες τι. Μόνο στο δικό μας «Η πόλη και η πόλη» των Σύλλα Τζουμέρκα και Χρήστου Πασσαλή ακούς πέντε διαφορετικές γλώσσες μέσα στο πρώτο δεκάλεπτο.",https://www.kathimerini.gr/culture/561719047/mperlinale-agapi-enantion-didaktismoy/,2022
7,Αρκεί η αγάπη για τα ζώα;,2022-06-02 21:30:00,"Δεν αμφισβητώ σε καμία περίπτωση την αγάπη πολλών ανθρώπων για τα ζώα, θεωρώ ότι είναι πέρα ώς πέρα ειλικρινής, μια διαρκής και ανιδιοτελής ανάγκη για προσφορά. Οσοι τη νιώθουν γνωρίζουν ότι η αγάπη αυτή είναι θεραπευτική, μεταμορφωτική για τους ίδιους. Και ίσως αυτό να είναι το «καύσιμο» που συντηρεί άσβεστη τη φλόγα της ζωοφιλίας. Είναι, όμως, μια αγάπη άνευ όρων ή πρέπει να οριοθετείται;",https://www.kathimerini.gr/culture/561705238/arkei-i-agapi-gia-ta-zoa-k/,2022
8,Tinder Swindler: Βίος και πολιτεία ενός απατεώνα που πωλούσε αγάπη,2022-02-21 07:47:00,"Toν βίο και την πολιτεία του Σιμόν Λεβίεφ δεν θα μπορούσε να φανταστεί ούτε ο πιο εμπνευσμένος σεναριογράφος του Χόλιγουντ. Αμύθητος πλούτος, χλιδή, θυελλώδεις έρωτες, παραβατικότητα, απάτες και υπεξαιρέσεις κατά συρροή, αλίευση ευάλωτων γυναικών από το Διαδίκτυο με σκοπό την απόσπαση χρημάτων είναι οι δύο αλληλένδετες όψεις της πολυσχιδούς ζωής του. ",https://www.kathimerini.gr/world/561727114/vios-kai-politeia-enos-apateona-poy-poloyse-agapi/,2022
9,"Ιωάννης Ελευθεριάδης: Αγάπη, το φάρμακο για την καρδιά",2022-02-17 07:39:00,"Αγαπημένες του ελληνικές λέξεις είναι: αγάπη, ψυχή, χάρισμα, αίνιγμα, ήθος, καρδιά. Στην τελευταία έχει αφιερώσει τη ζωή του. Καθηγητής Καρδιοχειρουργικής του Πανεπιστημίου Γέιλ, ομότιμος διευθυντής του Ινστιτούτου Αορτής στο Νοσοκομείο Yale New Haven και ένας εκ των κορυφαίων στον τομέα του διεθνώς, ο Ιωάννης Ελευθεριάδης έχει σώσει χιλιάδες ανθρώπους και έχει εκπαιδεύσει «στρατιές» νέων καρδιοχειρουργών. «Χειρουργώ κάθε εργάσιμη μέρα. Aν δεν μπω στο χειρουργείο, νιώθω ότι δεν έχω προσφέρει τίποτε στην κοινωνία. Εχω κάνει περισσότερες από 5.000 καρδιοχειρουργικές επεμβάσεις, μεταξύ των οποίων 350 μεταμοσχεύσεις καρδιάς, 200 εμφυτεύσεις τεχνητής καρδιάς και πολλές χιλιάδες μπαϊπάς και επεμβάσεις ανευρύσματος αορτής», λέει στην «Κ».",https://www.kathimerini.gr/opinion/geyma-me-thn-k/561716230/ioannis-eleytheriadis-agapi-to-farmako-gia-tin-kardia/,2022
