	date	text	source	likes	shares	year	month	day
0	2022-06-28 19:13:38	"RT @drkofans: [#agriesmelisses #ΔΚteam]

η πιο βαθιά,αληθινή και παντοτινή αγάπη ❤️  "	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	15	2022	6	28
1	2022-06-28 19:13:27	RT @Drogaki1: Φυσικά και είναι μοιραία η αγάπη σας Αστερη μου..Αυτή η αγάπη σας μας έχει διαλύσει🥰🥰 #sasmos #ΑΑmazi  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	3	2022	6	28
2	2022-06-28 19:13:07	"RT @XristosStak: ""Να είναι με όποιον θέλει η Αργυρώ.. Εγώ και την ζωή μου θα έδινα για να είναι καλά... ""
Σε αυτή την ζωή να είστε Αστέρης,…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	15	2022	6	28
3	2022-06-28 19:12:53	RT @VasilikisSlut: είστε ό,τι σκέφτομαι όταν ακούω τη λέξη αγάπη #sasmos 🤍  	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	0	5	2022	6	28
4	2022-06-28 19:12:46	ΤΡΕΛΟΣ για την αγάπη του ρεεε #sasmos	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2022	6	28
5	2022-06-28 19:12:31	Κι εδώ βλέπουμε κόσμο που βρήκε την αγάπη σε ένα σκηνοθετημενο,στημένο ριαλιτι Τούρκου παραγωγού...🤣🤣🤣🤣Αγάπησε τον κύριο Κινητό και την προβατίνα του #survivoGR  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
6	2022-06-28 19:12:28	Αναρωτιέται... υπάρχει αλήθεια στον κόσμο τέτοια αγάπη-έρωτας? Ανιδιοτελής αγάπη!!! #sasmos	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
7	2022-06-28 19:12:16	@LilliumLoves Βρε αγάπη μου ποιος είπε ότι είμαστε  αλάνθαστοι.Αν δεν αντιλαμβάνεσαι αυτά που γράφω δεν έχει νόημα η συζήτηση.	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2022	6	28
8	2022-06-28 19:11:49	"RT @demymanolakis: Πάντα να δείχνεις καλοσύνη και αγάπη στους άλλους!
Τα λόγια σου μπορεί να γεμίσουν τα κενά στην καρδιά κάποιου άλλου....…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	28	2022	6	28
9	2022-06-28 19:11:36	Φυσικά και είναι μοιραία η αγάπη σας Αστερη μου..Αυτή η αγάπη σας μας έχει διαλύσει🥰🥰 #sasmos #ΑΑmazi  	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	13	3	2022	6	28
10	2022-06-28 19:11:14	RT @teodoro75753103: Η αγάπη δεν πληγώνει ποτέ.... Οι άνθρωποι πληγώνουν... Στο όνομα της	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	10	2022	6	28
11	2022-06-28 19:10:52	Η ανιδιοτελής αγάπη του Αστέρη αυτή τη στιγμή με έχει συγκλονίσει 🥺#Sasmos	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	4	0	2022	6	28
12	2022-06-28 19:10:49	@marissaav_ ΝΑ ΠΕΡΑΣΕΙΣ ΦΑΝΤΑΣΤΙΚΑ ΑΓΑΠΗ	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2022	6	28
13	2022-06-28 19:10:44	RT @ntinntan7: Όταν πονάει ο άνθρωπος σου μία εσύ υποφέρεις δέκα και αυτό είναι αγάπη..	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	52	2022	6	28
14	2022-06-28 19:10:39	είστε ό,τι σκέφτομαι όταν ακούω τη λέξη αγάπη #sasmos 🤍  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	12	5	2022	6	28
15	2022-06-28 19:10:29	RT @Etherea91414364: Με πόση λατρεία, αγάπη και θαυμασμό κοιτάει ο Νικηφόρος τον μπαμπά του. Πόσο ευτυχισμένος είναι που είναι οικογένεια.…	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	9	2022	6	28
16	2022-06-28 19:09:27	Προς τι ο γέλος Μαθιε??? Εσυ έχεις κάνει χειρότερα για την αγάπη σου… #sasmos	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	8	0	2022	6	28
17	2022-06-28 19:09:22	"RT @karatakapsoura: ""Να είναι με όποιον θέλει η Αργυρώ, εγώ θα έδινα και την ζωή μου για να είναι καλά"" 
Πόση αγάπη #Sasmos"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	5	2022	6	28
18	2022-06-28 19:08:47	RT @FaiiVas123: ΑΘΗΝΆ ΤΩΡΑ ΑΓΑΠΗ ΜΟΥ ΣΤΟ ΑΕΡΟΔΡΌΜΙΟ ΓΙΑ ΜΑΔΡΊΤΗ #GiTisElias	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
19	2022-06-28 19:08:06	RT @sataniklitorida: αποφάσισα να ασχοληθώ με τη μεγαλη μου αγαπη, το ομποε.	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
20	2022-06-28 19:08:03	"RT @Le_Ya_2_10_19: Κάποιες φορές, η απόφαση να σταματήσεις 
να δίνεις την αγάπη σου εκεί που δεν την εκτιμούν,είναι η απόδειξη ότι άρχισες…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
21	2022-06-28 19:07:26	ΑΘΗΝΆ ΤΩΡΑ ΑΓΑΠΗ ΜΟΥ ΣΤΟ ΑΕΡΟΔΡΌΜΙΟ ΓΙΑ ΜΑΔΡΊΤΗ #GiTisElias	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	12	1	2022	6	28
